k, NA;
necrose, V;
necrosis, N;
necrotic, A;
necrotic enteritis, h;
necrotise, it;
necrotised, it;
necrotising, it;
necrotize, it;
necrotized, V;
necrotizing, V;
necrotizing enteritis, |h;
necrotizing enterocolitis, |h;
necrotomic, A;
necrotomies, p;
necrotomist, N;
necrotomy, N;
nectar, N;
nectareous, A;
nectareously, v;
nectareousness, N;
nectariferous, A;
nectarine, N;
nectarine tree, |h;
nectarise, t;
nectarised, t;
nectarising, t;
nectarize, t;
nectarized, t;
nectarizing, t;
nectarous, A;
nectary, N;
necturus, |N;
necturus maculosus, |h;
neddy, N;
nee, A;
need, VtN;
needed, |A;
needer, N;
needfire, N;
needful, A;
needfully, |v;
needier, A;
neediest, A;
needily, v;
neediness, N;
needle, NtiV;
needle bearing, |h;
needle blight, |h;
needle bush, h;
needle cast, |h;
needle furze, |h;
needle holder, h;
needle palm, |h;
needle rush, |h;
needle spike rush, |h;
needle time, h;
needle valve, h;
needle wood, |h;
needle-and-ball indicator, h;
needle-shaped, |A;
needlebush, |N;
needlecord, N;
needlecraft, N;
needled, V;
needlefish, N;
needleful, N;
needlefuls, p;
needlelike, A;
needlenose pliers, |h;
needlepoint, N;
needless, A;
needlessly, |v;
needlewoman, N;
needlewomen, p;
needlewood, |N;
needlework, N;
needleworker, |N;
needling, V;
needn't, N;
needs, v;
needy, A;
neela, p;
neem, |N;
neem cake, |h;
neem seed, |h;
neem tree, |h;
neencephalon, N;
neencephalons, p;
neep, N;
nef, N;
nefarious, A;
nefariously, v;
nefariousness, N;
negaprion, |N;
negaprion brevirostris, |h;
negate, tV;
negatedness, N;
negater, N;
negating, |N;
negation, N;
negational, A;
negationist, N;
negative, ANtV;
negative catalyst, h;
negative charge, |h;
negative chemotaxis, |h;
negative correlation, |h;
negative electricity, h;
negative feedback, h;
negative feedback circuit, |h;
negative flag, h;
negative glow, h;
negative hallucination, h;
negative ion, h;
negative lens, h;
negative magnetic pole, |h;
negative muon, |h;
negative polarity, h;
negative pole, |h;
negative reinforcer, |h;
negative reinforcing stimulus, |h;
negative resistance, h;
negative sign, h;
negative stimulation, |h;
negative stimulus, |h;
negative tax, h;
negative-raising, N;
negatived, V;
negatively, v;
negatively charged, |A;
negativeness, N;
negativing, V;
negativism, NA;
negativist, N;
negativity, N;
negator, N;
negatron, N;
negev, |N;
negev desert, |h;
neglect, tNV;
neglect of duty, |h;
neglected, |A;
neglectedly, v;
neglectedness, N;
neglecter, N;
neglectful, A;
neglectful of, |A;
neglectfully, v;
neglectfulness, N;
neglectingly, v;
neglector, N;
neglige, |N;
negligee, N;
negligence, N;
negligent, A;
negligently, v;
negligibility, N;
negligible, A;
negligibleness, N;
negligibly, v;
negociate, |V;
negotiability, N;
negotiable, A;
negotiable instrument, |h;
negotiant, N;
negotiate, Vt;
negotiation, N;
negotiator, N;
negotiatress, |N;
negotiatrix, |N;
negress, |N;
negritude, N;
negro, |NA;
negro peach, |h;
negro pepper, |h;
negro race, |h;
negro spiritual, |h;
negro vine, |h;
negroid, |NA;
negroid race, |h;
negus, N;
neguses, p;
nehru, |N;
neigh, NitV;
neighbor, NVA;
neighborhood, N;
neighboring, |A;
neighborless, A;
neighborliness, N;
neighborly, A;
neighbour, NVA;
neighbourhood, N;
neighbouring, |A;
neighbourless, A;
neighbourliness, N;
neighbourly, A;
neil armstrong, |h;
neisseria, N;
neisseria gonorrhoeae, |h;
neither, DCv;
nek, N;
nekton, N;
nektonic, A;
nelly, N;
nelson, N;
nelumbian, A;
nelumbo, N;
nelumbo lutea, |h;
nelumbo nucifera, |h;
nelumbonaceae, |N;
nem con, hv;
nemathecial, A;
nemathecium, N;
nemathelminth, N;
nematic, A;
nematocera, |N;
nematocyst, N;
nematocystic, A;
nematoda, |N;
nematode, N;
nematological, A;
nematologist, N;
nematology, N;
nembutal, |N;
nemean lion, |h;
nemertea, |N;
nemertean, NA;
nemertina, |N;
nemertine, |N;
nemesia, N;
nemesis, |N;
nemine contradicente, |v;
nemine dissentiente, h;
nemo, N;
nemophila, |N;
nemophila aurita, |h;
nemophila maculata, |h;
nemophila menziesii, |h;
nemoricole, A;
nemos, p;
nene, N;
nenets, |N;
nentsi, |N;
nentsy, |N;
neo, |A;
neo jazz, |h;
neo-Plastic, A;
neo-Plasticist, N;
neo-classicist, N;
neo-darwinian, |A;
neo-darwinism, |N;
neo-grammarian, hN;
neo-lamarckian, |A;
neo-lamarckism, |N;
neo-latin, |N;
neo-orthodoxy, N;
neoanthropic, A;
neoarsphenamine, N;
neoceratodus, |N;
neoceratodus forsteri, |h;
neoclassic, NA;
neoclassical, |A;
neoclassicism, N;
neoclassicist, NA;
neoclassicistic, |A;
neocolonial, A;
neocolonialism, N;
neocolonialist, N;
neocortex, N;
neocortical, |A;
neodymium, N;
neoencephalon, |N;
neoexpressionism, |N;
neofiber, |N;
neofiber alleni, |h;
neoformation, N;
neoformative, A;
neohygrophorus, |N;
neohygrophorus angelesianus, |h;
neoimpressionism, NA;
neolentinus, |N;
neolentinus ponderosus, |h;
neoliberal, |NA;
neoliberalism, |N;
neolith, N;
neolithic, |A;
neolithic age, |h;
neologic, A;
neological, A;
neologically, v;
neologies, p;
neologise, i;
neologised, i;
neologising, i;
neologism, N;
neologist, N;
neologistic, A;
neologistical, A;
neologize, i;
neologized, i;
neologizing, i;
neology, N;
neomycin, N;
neomys, |N;
neomys anomalus, |h;
neomys fodiens, |h;
neon, N;
neon lamp, h;
neon tetra, h;
neon tube, |h;
neonatal, A;
neonatally, v;
neonate, N;
neoorthodox, A;
neopallium, |N;
neophron, |N;
neophron percnopterus, |h;
neophyte, N;
neophytic, A;
neophytism, N;
neoplasia, |N;
neoplasm, N;
neoplastic, A;
neoplastic cell, |h;
neoplasticism, N;
neoplasticist, N;
neoplasty, N;
neopolitan, |N;
neoprene, N;
neoromanticism, |N;
neosho, |N;
neosho river, |h;
neostigmine, N;
neostyle, Nt;
neostyled, V;
neostyling, V;
neotenous, A;
neoteny, N;
neoteric, AN;
neoterism, N;
neoterize, i;
neoterized, i;
neoterizing, i;
neotoma, |N;
neotoma cinerea, |h;
neotoma floridana, |h;
neotoma fuscipes, |h;
neotype, N;
neourthodox, A;
neoytterbium, N;
nepa, |N;
nepal, |N;
nepal trumpet flower, |h;
nepalese, |NA;
nepalese monetary unit, |h;
nepalese rupee, |h;
nepali, |NA;
nepenthaceae, |N;
nepenthe, N;
nepenthean, A;
nepenthes, N;
neper, N;
nepeta, |N;
nepeta cataria, |h;
nepeta hederaceae, |h;
nepheline, N;
nephelinite, N;
nephelinitic, A;
nephelium, |N;
nephelium lappaceum, |h;
nephelium litchi, |h;
nephelium longana, |h;
nephelium mutabile, |h;
nephelometer, N;
nephew, N;
nephogram, N;
nephograph, N;
nephological, A;
nephologist, N;
nephology, N;
nephoscope, N;
nephphridia, p;
nephralgia, N;
nephralgic, A;
nephrectomies, p;
nephrectomise, t;
nephrectomised, t;
nephrectomising, t;
nephrectomize, t;
nephrectomized, t;
nephrectomizing, t;
nephrectomy, N;
nephric, A;
nephridial, A;
nephridium, N;
nephrism, N;
nephrite, N;
nephritic, A;
nephritis, N;
nephrocele, N;
nephrogenous, A;
nephrolepis, |N;
nephrolepis exaltata, |h;
nephrolepis exaltata bostoniensis, |h;
nephrolepis pectinata, |h;
nephrolith, N;
nephrolithiasis, |N;
nephrolithic, A;
nephrolithotomies, p;
nephrolithotomy, N;
nephron, N;
nephropathic, A;
nephropathy, N;
nephrops, |N;
nephrops norvegicus, |h;
nephropsidae, |N;
nephrosis, N;
nephrostome, N;
nephrostomial, A;
nephrostomous, A;
nephrotic, A;
nephrotome, N;
nephrotomise, N;
nephrotomy, N;
nephrotoxic, A;
nephrotoxicity, N;
nephthys, |N;
nephthytis, |N;
nephthytis afzelii, |h;
nepidae, |N;
nepit, N;
nepman, N;
nepmen, p;
nepotic, A;
nepotism, N;
nepotistic, A;
nepotistical, A;
neptune, |N;
neptunium, N;
neptunium series, h;
neral, N;
nerd, |N;
nereid, |N;
nereis, N;
nereus, |N;
nergal, |N;
nerita, |N;
nerita peloronta, |h;
neritic, A;
neritid, |N;
neritid gastropod, |h;
neritidae, |N;
neritina, |N;
nerium, |N;
nerium oleander, |h;
nero antico, h;
nero's crown, |h;
nerodia, |N;
nerodia sipedon, |h;
nerol, N;
neroli oil, h;
nerthus, |N;
nerts, !;
nerval, A;
nervate, A;
nervation, N;
nerve, NtV;
nerve block, h;
nerve block anaesthesia, |h;
nerve block anesthesia, |h;
nerve cell, h;
nerve center, h;
nerve centre, |h;
nerve deafness, |h;
nerve fiber, h;
nerve fibre, h;
nerve gas, h;
nerve impulse, h;
nerve pathway, |h;
nerve plexus, |h;
nerve tissue, |h;
nerve tract, |h;
nerve-racking, A;
nerve-wracking, |A;
nerved, V;
nerveless, A;
nervelessly, v;
nervelessness, N;
nerveroot, |N;
nerves, pN;
nervii olfactorii, |h;
nervily, v;
nervine, AN;
nerviness, N;
nerving, N;
nervous, A;
nervous breakdown, h;
nervous disorder, |h;
nervous exhaustion, |h;
nervous prostration, h;
nervous strain, |h;
nervous system, h;
nervous tissue, |h;
nervously, v;
nervousness, N;
nervule, N;
nervuration, N;
nervure, N;
nervus, |N;
nervus abducens, |h;
nervus accessorius, |h;
nervus coccygeus, |h;
nervus facialis, |h;
nervus femoralis, |h;
nervus glossopharyngeus, |h;
nervus hypoglosus, |h;
nervus ischiadicus, |h;
nervus oculomotorius, |h;
nervus opticus, |h;
nervus phrenicus, |h;
nervus saphenus, |h;
nervus spinalis, |h;
nervus trigeminus, |h;
nervus ulnaris, |h;
nervus vagus, |h;
nervus vestibulocochlearis, |h;
nervy, A;
nescience, N;
nescient, A;
nesh, A;
nesokia, |N;
nesosilicate, N;
ness, N;
nesselrode, N;
nessie, |N;
nesslerise, ti;
nesslerised, ti;
nesslerising, ti;
nesslerize, ti;
nesslerized, V;
nesslerizing, V;
nest, NitV;
nest egg, h;
nest of drawers, h;
nestable, A;
nested, At;
nester, N;
nesting place, |h;
nestle, itNV;
nestled, |A;
nestler, N;
nestlike, A;
nestling, N;
nestor, |N;
nestor notabilis, |h;
nesty, A;
net, NVA;
net ball, |h;
net blotch, h;
net estate, |h;
net fish, |V;
net income, |h;
net line, h;
net melon, |h;
net national product, h;
net profit, h;
net sales, |h;
net silk, h;
net ton, h;
net tonnage, h;
netball, N;
nether, A;
nether region, |h;
nether world, h;
netherlander, |N;
netherlands, |N;
netherlands antilles, |h;
netherlands guiana, |h;
nethermost, DA;
netherward, A;
netherworld, |N;
neti neti, h;
netkeeper, |N;
netlike, A;
netmail, |V;
netman, N;
netmen, p;
netscape, |N;
netsuke, N;
nett, ANV;
nettable, A;
netted, VA;
netted melon, h;
netting, N;
netting knot, h;
nettle, NtV;
nettle family, |h;
nettle rash, h;
nettle tree, |h;
nettle-leaved bellflower, |h;
nettle-leaved goosefoot, |h;
nettled, VA;
nettleleaf goosefoot, |h;
nettlelike, A;
nettler, N;
nettlesome, A;
nettling, V;
nettly, A;
netty, N;
network, NV;
network architecture, |h;
network programming, |h;
networklike, |A;
neuk, N;
neumatic, A;
neume, N;
neumic, A;
neural, A;
neural arch, |h;
neural structure, |h;
neuralgia, N;
neuralgic, |A;
neuralgy, |N;
neuraminic acid, h;
neurasthenia, N;
neurasthenic, AN;
neurasthenically, v;
neuration, N;
neuraxitis, N;
neurectomy, N;
neurilemma, N;
neurilemmal, A;
neurilemmatic, A;
neurite, N;
neuritic, A;
neuritis, N;
neuroanatomic, A;
neuroanatomical, A;
neuroanatomist, N;
neuroanatomy, |N;
neurobiological, |Av;
neurobiology, |N;
neuroblast, N;
neuroblastic, A;
neurocelian, A;
neurochemical, |N;
neurocirculatory asthenia, h;
neurocoele, N;
neurocoelian, A;
neuroembryological, N;
neuroembryology, N;
neurofibril, N;
neurogenic, A;
neuroglia, N;
neurogliac, A;
neurogliacyte, |N;
neuroglial, A;
neuroglial cell, |h;
neurogliar, A;
neuroglic, A;
neurogram, N;
neurogrammic, A;
neurohypophysis, N;
neurolemma, N;
neurologic, |A;
neurological, |A;
neurological disease, |h;
neurological disorder, |h;
neurologist, N;
neurology, N;
neurolytic, A;
neuroma, N;
neuromas, p;
neuromast, N;
neuromastic, A;
neuromata, p;
neuromatous, A;
neuromotor, |A;
neuromuscular, A;
neuromuscular junction, |h;
neuron, NA;
neuronal, |A;
neuronic, A;
neuropath, N;
neuropathic, A;
neuropathically, v;
neuropathology, N;
neuropathy, N;
neurophysiologic, A;
neurophysiological, A;
neurophysiologically, v;
neurophysiologist, N;
neurophysiology, N;
neuroplasm, N;
neuroplasmatic, A;
neuroplasmic, A;
neuropsychiatric, A;
neuropsychiatry, N;
neuropsychological, |A;
neuropsychology, |N;
neuroptera, |N;
neuropteran, N;
neuropteron, N;
neuropterous, A;
neuropterous insect, |h;
neurosarcoma, |N;
neuroscience, |N;
neuroses, p;
neurosis, N;
neurospora, |N;
neurosurgeon, N;
neurosurgery, N;
neurosurgical, A;
neurotic, AN;
neurotic depression, |h;
neurotically, v;
neuroticism, N;
neurotomy, N;
neurotransmitter, |N;
neurotrichus, |N;
neurotrichus gibbsii, |h;
neurotrophic, A;
neurotrophy, N;
neurotropic, A;
neurotropism, N;
neurovascular, A;
neurula, N;
neustic, A;
neuston, N;
neustonic, A;
neut, N;
neuter, ANtV;
neutered, |A;
neutering, |N;
neutral, AN;
neutral acriflavine, h;
neutral axis, h;
neutral corner, h;
neutral monist, h;
neutral spirits, h;
neutral zone, h;
neutralisation, |N;
neutralise, N;
neutralism, NA;
neutralist, |N;
neutrality, N;
neutralization, N;
neutralization fire, |h;
neutralize, V;
neutralized, VA;
neutralizing, t;
neutrally, v;
neutretto, N;
neutrettos, p;
neutrino, N;
neutrinos, p;
neutron, N;
neutron bomb, h;
neutron flux, |h;
neutron number, h;
neutron radiation, |h;
neutron star, h;
neutropenia, |N;
neutrophil, NA;
neutrosphere, N;
nevada, |N;
nevadan, |N;
nevado de colima, |h;
never, v!;
never again, |v;
never-ending, |A;
never-never, NA;
never-never land, |h;
never-say-die, |A;
nevermind, N;
nevermore, v;
nevertheless, Cv;
nevi, p;
nevis, |N;
nevoid, A;
nevoid elephantiasis, |h;
nevus, N;
new, Av;
new britain, |h;
new broom, h;
new brunswick, |h;
new caledonia, |h;
new caledonian pine, |h;
new caledonian yew, |h;
new covenant, h;
new criticism, h;
new deal, |h;
new delhi, |h;
new edition, |h;
new england, |h;
new england aster, |h;
new england boiled dinner, |h;
new england clam chowder, |h;
new englander, |h;
new english bible, |h;
new guinea, |h;
new halfpenny, h;
new hampshire, |h;
new hampshirite, |h;
new haven, |h;
new hebrides, |h;
new ireland, |h;
new jazz, |h;
new jersey, |h;
new latin, |h;
new latin utopia, |h;
new line, |h;
new look, h;
new maths, h;
new mexico, |h;
new moon, h;
new norwegian, |h;
new orleans, |h;
new penny, |h;
new phase of the moon, |h;
new planets, p;
new river gorge bridge, |h;
new scotland yard, |h;
new south wales, |h;
new style, |h;
new testament, |h;
new theology, h;
new to, |A;
new town, h;
new wave, h;
new waver, |h;
new wool, h;
new world, |h;
new world anteater, |h;
new world beaver, |h;
new world blackbird, |h;
new world chat, |h;
new world coral snake, |h;
new world flycatcher, |h;
new world goldfinch, |h;
new world jay, |h;
new world least weasel, |h;
new world monkey, |h;
new world mouse, |h;
new world opah, |h;
new world oriole, |h;
new world porcupine, |h;
new world sparrow, |h;
new world tapir, |h;
new world vulture, |h;
new world warbler, |h;
new year's, |h;
new year's day, |h;
new year's eve, |h;
new york, |h;
new york aster, |h;
new york bay, |h;
new york city, |h;
new york fern, |h;
new york minute, |h;
new york state, |h;
new york stock exchange, |h;
new york strip, |h;
new yorker, |h;
new zealand, |h;
new zealand cotton, |h;
new zealand dacryberry, |h;
new zealand daisybush, |h;
new zealand dollar, |h;
new zealand mountain pine, |h;
new zealand spinach, |h;
new zealand white pine, |h;
new zealand wine berry, |h;
new zealand wren, |h;
new zealander, |hA;
new-fashioned, A;
new-made, |A;
new-mint, t;
new-model, A;
new-mown, A;
new-rich, AN;
new-sprung, A;
new-zealand beech, |h;
new-zealand honeysuckle, |h;
newari, |N;
newark, |N;
newborn, AN;
newburg sauce, |h;
newcastle, |N;
newcastle disease, |h;
newcastle-upon-tyne, |N;
newcomer, N;
newel, N;
newel post, h;
newest, |A;
newfangled, A;
newfangledly, v;
newfangledness, N;
newfound, |A;
newfoundland, |N;
newfoundland dwarf birch, |h;
newground, N;
newish, A;
newly, v;
newly arisen, |A;
newlywed, N;
newmarket, N;
newness, N;
newport, |N;
news, N;
news agency, h;
news article, |h;
news bulletin, |h;
news case, h;
news conference, h;
news event, |h;
news item, |h;
news media, |h;
news photography, |h;
news program, |h;
news release, h;
news report, |h;
news room, h;
news service, h;
news show, |h;
news stall, h;
news story, |h;
news vendor, h;
newsagent, N;
newsbeat, N;
newsboard, N;
newsboy, N;
newsbreak, N;
newscast, N;
newscaster, N;
newscasting, N;
newsdealer, N;
newsflash, |N;
newshawk, N;
newshen, N;
newsier, A;
newsies, p;
newsiest, A;
newsiness, N;
newsless, A;
newslessness, N;
newsletter, N;
newsmagazine, N;
newsman, N;
newsmen, p;
newsmonger, N;
newspaper, N;
newspaper ad, |h;
newspaper advertisement, |h;
newspaper article, |h;
newspaper clipping, |h;
newspaper column, |h;
newspaper columnist, |h;
newspaper critic, |h;
newspaper editor, |h;
newspaper headline, |h;
newspaper publisher, |h;
newspaperdom, N;
newspaperish, A;
newspaperman, N;
newspapermen, p;
newspaperwoman, N;
newspaperwomen, p;
newspeak, N;
newsperson, |N;
newsprint, N;
newsreader, N;
newsreel, N;
newsroom, |N;
newssheet, |N;
newsstand, N;
newsstand operator, |h;
newsvendor, |N;
newswoman, N;
newswomen, p;
newsworthiness, N;
newsworthy, A;
newswriter, |N;
newsy, A;
newt, N;
newton, N;
newton's first law, |h;
newton's first law of motion, |h;
newton's law, |h;
newton's law of gravitation, |h;
newton's law of motion, |h;
newton's second law, |h;
newton's second law of motion, |h;
newton's third law, |h;
newton's third law of motion, |h;
newtonian, |NA;
newtonian mechanics, |h;
newtonian reflector, |h;
newtonian telescope, |h;
newtown wonder, |h;
next, AvP;
next door, Av;
next friend, h;
next of kin, h;
next-door, vA;
next-to-last, |A;
nexus, N;
ngaio, N;
nganasan, |N;
ngoma, N;
ngultrum, |N;
nguni, |N;
ngwee, N;
ni, |N;
ni-hard, |N;
ni-hard iron, |h;
ni-resist, |N;
ni-resist iron, |h;
niacin, N;
niacinamide, N;
niagara, |N;
niagara falls, |h;
niagara river, |h;
niamey, |N;
nib, NVt;
nibbana, N;
nibbed, VA;
nibbing, V;
nibbing plank, h;
nibble, ViN;
nibbled, V;
nibbler, N;
nibbling, VN;
niblick, N;
niblike, A;
nibs, p;
nicad, |N;
nicandra, |N;
nicandra physaloides, |h;
nicaragua, |N;
nicaraguan, |NA;
nicaraguan capital, |h;
nicaraguan monetary unit, |h;
niccolite, N;
niccolo machiavelli, |h;
nice, AN;
nice-nelly, A;
nice-nellyism, N;
nicely, v;
nicene creed, |h;
niceness, N;
nicer, A;
nicest, A;
niceties, p;
nicety, N;
niche, Nt;
nicher, iN;
nichrome, |N;
nicht wahr, h;
nick, NtiV;
nickel, NVA;
nickel acetate, h;
nickel alloy, |h;
nickel bloom, h;
nickel bronze, |h;
nickel carbonyl, h;
nickel oxide, h;
nickel plate, h;
nickel silver, h;
nickel steel, |h;
nickel-and-dime, |A;
nickel-base alloy, |h;
nickel-cadmium accumulator, |h;
nickel-plate, h;
nickeled, V;
nickelic, A;
nickeliferous, A;
nickeling, V;
nickelise, t;
nickelised, t;
nickelising, t;
nickelize, t;
nickelized, t;
nickelizing, t;
nickelled, V;
nickelodeon, N;
nickelous, A;
nickeltype, N;
nicker, iNV;
nicker nut, |h;
nicker seed, |h;
nickers, p;
nickey, N;
nickeys, p;
nicknack, N;
nickname, NtV;
nicknamed, V;
nicknamer, N;
nicknaming, V;
nickpoint, N;
nicol prism, |h;
nicolaus copernicus, |h;
nicosia, |N;
nicotiana, N;
nicotiana alata, |h;
nicotiana glauca, |h;
nicotiana rustica, |h;
nicotiana tabacum, |h;
nicotinamide, N;
nicotinamide adenine dinucleotide, |h;
nicotine, N;
nicotine addiction, |h;
nicotined, A;
nicotineless, A;
nicotinic, A;
nicotinic acid, h;
nicotinise, t;
nicotinised, t;
nicotinising, t;
nicotinism, N;
nicotinize, t;
nicotinized, t;
nicotinizing, t;
nictate, |V;
nictitant, A;
nictitate, V;
nictitating membrane, h;
nictitation, N;
nid-nod, V;
nidana, N;
nidaros, |N;
niddering, NA;
niddle-noddle, AV;
nide, N;
nidicolous, A;
nidificate, i;
nidificated, i;
nidificating, i;
nidification, N;
nidificational, A;
nidified, i;
nidifugous, A;
nidify, V;
nidifying, i;
nidudi, p;
nidularia, |N;
nidulariaceae, |N;
nidulariales, |N;
nidus, N;
niece, N;
niellist, N;
niello, NV;
nielloed, V;
nielloing, V;
niemann-pick disease, |h;
nierembergia, |N;
nierembergia frutescens, |h;
nierembergia repens, |h;
nierembergia rivularis, |h;
nies, N;
nieve, N;
niff, NV;
niffy, |A;
niftier, A;
nifties, A;
niftiest, A;
nifty, A;
nig, t;
nigella, |N;
nigella damascena, |h;
nigella hispanica, |h;
nigella sativa, |h;
niger, |N;
niger franc, |h;
niger river, |h;
niger-congo, |N;
niger-kordofanian, |N;
niger-kordofanian language, |h;
nigeria, |N;
nigerian, |NA;
nigerian capital, |h;
nigerian monetary unit, |h;
nigerien, |NA;
niggard, NA;
niggardise, it;
niggardised, it;
niggardising, it;
niggardize, it;
niggardized, V;
niggardizing, V;
niggardliness, N;
niggardly, Av;
niggardness, |N;
nigged, t;
nigger, N;
nigger heaven, h;
niggerhead, N;
nigging, t;
niggle, itV;
niggled, i;
niggler, N;
niggling, A;
nigh, AvP;
nigher, |v;
nighest, |Av;
night, N;
night bell, |h;
night bird, |h;
night blindness, h;
night bolt, h;
night clothes, h;
night club, h;
night court, |h;
night crawler, h;
night dancer, h;
night editor, h;
night effect, h;
night game, |h;
night heron, h;
night jasmine, |h;
night jessamine, |h;
night key, h;
night latch, h;
night letter, h;
night light, h;
night lizard, h;
night office, h;
night owl, h;
night pennant, h;
night porter, |h;
night raven, h;
night rider, |h;
night robe, h;
night school, h;
night sergeant, h;
night shift, h;
night snake, h;
night soil, h;
night stick, h;
night vision, |h;
night watch, h;
night watching, h;
night watchman, h;
night-blooming cereus, h;
night-club, i;
night-clubbed, i;
night-clubbing, i;
night-light, N;
night-line, |N;
night-night, !;
night-robe, |N;
night-sight, |N;
night-stop, |N;
night-time, N;
nightbird, |N;
nightcap, N;
nightcapped, A;
nightclothes, |N;
nightclub, N;
nightclubber, N;
nightcrawler, |N;
nightdress, N;
nighted, |A;
nightfall, N;
nightgown, N;
nighthawk, N;
nightie, N;
nighties, p;
nightingale, N;
nightjar, N;
nightless, A;
nightlife, N;
nightlight, |N;
nightlong, Av;
nightly, Av;
nightmare, N;
nightmarish, A;
nightmarishly, v;
nightmarishness, N;
nightrider, N;
nightriding, N;
nights, v;
nightshade, N;
nightshirt, N;
nightside, N;
nightspot, N;
nightstand, N;
nightstick, |N;
nighttime, |NA;
nightwalker, N;
nightwalking, AN;
nightwear, N;
nightwork, |N;
nighty, N;
nighty-night, !;
nigra, |N;
nigrescent, A;
nigrification, N;
nigrify, V;
nigritude, N;
nigritudinous, A;
nigroporus, |N;
nigroporus vinosus, |h;
nigrosine, N;
nigrospora cob rot, h;
nihau, |N;
nihau island, |h;
nihil, N;
nihil obstat, h;
nihilism, NA;
nihilist, NA;
nihilistic, A;
nihility, N;
nihon, |N;
nijmegen, |N;
nike, |N;
nikethamide, N;
nikkud, N;
nikkudim, p;
nikolai lenin, |h;
niku-bori, N;
nil, N;
nil admirari, h;
nil desperandum, !;
nil nisi bonum, h;
nil sine numine, h;
nile, |N;
nile crocodile, |h;
nile river, |h;
nilgai, N;
nilgais, p;
nill, ti;
nilo-saharan, |N;
nilo-saharan language, |h;
nilotic, |NA;
nilotic language, |h;
nilpotent, |A;
nim, N;
nim tree, |h;
nimble, A;
nimble will, |h;
nimble-fingered, |A;
nimbleness, N;
nimblewill, |N;
nimblewit, N;
nimbly, v;
nimbostratus, N;
nimbus, N;
nimbus cloud, |h;
nimbused, A;
nimieties, p;
nimiety, N;
niminy-pimininess, N;
niminy-piminy, A;
niminy-piminyism, N;
nimonic alloy, h;
nimravus, |N;
nin-sin, |N;
nina, |N;
nina from carolina, |h;
nincompoop, N;
nincompoopery, N;
nincompoopish, A;
nine, NDA;
nine days' wonder, h;
nine iron, |h;
nine times, |v;
nine-banded armadillo, h;
nine-spot, N;
ninebark, N;
ninefold, Av;
ninepence, N;
ninepenny, |A;
ninepin, |N;
ninepin ball, |h;
ninepins, N;
niner, |N;
nineteen, NDA;
nineteenth, AN;
nineteenth hole, h;
nineteenth man, h;
nineties, pN;
ninetieth, AN;
ninety, NDA;
ninety-day wonder, h;
ninety-eight, NA;
ninety-eighth, AN;
ninety-fifth, N;
ninety-five, NA;
ninety-four, NA;
ninety-fourth, AN;
ninety-nine, NA;
ninety-ninth, hA;
ninety-second, AN;
ninety-seven, NA;
ninety-seventh, AN;
ninety-six, NA;
ninety-sixth, AN;
ninety-three, NA;
ninety-two, NA;
nineveh, |N;
ningal, |N;
ningirsu, |N;
ningishzida, |N;
ninhursag, |N;
ninib, |N;
ninigi, |N;
ninigino-mikoto, |N;
ninkharsag, |N;
ninkhursag, |N;
ninnies, p;
ninny, N;
ninnyhammer, N;
ninnyish, A;
ninon, N;
ninth, ANv;
ninth chord, h;
ninth cranial nerve, |h;
ninth of ab, |h;
ninth of av, |h;
ninthly, v;
nintoo, |N;
nintu, |N;
ninurta, |N;
niobic, A;
niobic acid, h;
niobite, N;
niobium, N;
niobous, A;
niobrara, |N;
niobrara river, |h;
nip, ViN;
nip off, |V;
nipa, N;
nipa fruticans, |h;
nipa palm, |h;
niphablepsia, N;
nipped, V;
nipper, N;
nippers, p;
nipping, A;
nippingly, v;
nipple, N;
nippleless, A;
nipplewort, N;
nippon, |N;
nipponese, |NA;
nippy, A;
nirvana, N;
nirvanic, A;
nisan, |N;
nisi, A;
nisi prius, h;
nisi-prius, A;
nissan, |N;
nissen hut, |h;
nisus, N;
nit, N;
nit-picking, NA;
nitchie, N;
nitella, |N;
niter, N;
nitid, A;
niton, N;
nitpick, |V;
nitpicking, |A;
nitramine, N;
nitramino, A;
nitramino group, h;
nitrate, NtV;
nitrated, V;
nitrating, V;
nitration, N;
nitre, N;
nitric, A;
nitric acid, h;
nitric bacteria, h;
nitric ether, h;
nitric oxide, h;
nitride, N;
nitriding, N;
nitriding steel, h;
nitrifiable, A;
nitrification, N;
nitrify, V;
nitrile, N;
nitrite, N;
nitro, A;
nitro compound, h;
nitro group, h;
nitro radical, h;
nitrobacter, |N;
nitrobacteria, pN;
nitrobacteriaceae, |N;
nitrobenzene, N;
nitrocalcite, |N;
nitrocellulose, N;
nitrocellulosic, A;
nitrochloroform, N;
nitrocotton, |N;
nitrofurantoin, |N;
nitrogen, N;
nitrogen cycle, h;
nitrogen dioxide, h;
nitrogen fixation, h;
nitrogen mustard, h;
nitrogen narcosis, h;
nitrogen oxide, |h;
nitrogen peroxide, h;
nitrogen tetroxide, h;
nitrogenation, N;
nitrogenisation, N;
nitrogenise, t;
nitrogenised, t;
nitrogenising, t;
nitrogenization, N;
nitrogenize, V;
nitrogenized, t;
nitrogenizing, t;
nitrogenous, A;
nitroglycerin, N;
nitroglycerine, |N;
nitrohydrochloric acid, h;
nitrolic, A;
nitromannitol, N;
nitromersol, N;
nitrometer, N;
nitromethane, N;
nitroparaffin, N;
nitrophenol, N;
nitrosamine, N;
